,True Values,Predict Values,Prediction Error,Root Mean Square Error
13214,2.0,2.7915,-0.7915000000000001,1.0260619409113207
11776,10.0,10.0,0.0,1.0260619409113207
12997,10.0,10.0,0.0,1.0260619409113207
27112,10.0,10.0,0.0,1.0260619409113207
26372,10.0,10.0,0.0,1.0260619409113207
27428,10.0,10.0,0.0,1.0260619409113207
22077,10.0,10.0,0.0,1.0260619409113207
11957,10.0,10.0,0.0,1.0260619409113207
26437,10.0,10.0,0.0,1.0260619409113207
13209,5.0,7.5765,-2.5765000000000002,1.0260619409113207
11761,10.0,10.0,0.0,1.0260619409113207
11200,10.0,10.0,0.0,1.0260619409113207
27413,1.0,7.5155,-6.5155,1.0260619409113207
23494,10.0,10.0,0.0,1.0260619409113207
11757,10.0,10.0,0.0,1.0260619409113207
26324,10.0,10.0,0.0,1.0260619409113207
13722,10.0,10.0,0.0,1.0260619409113207
26960,10.0,10.0,0.0,1.0260619409113207
26221,10.0,10.0,0.0,1.0260619409113207
25338,10.0,10.0,0.0,1.0260619409113207
27174,10.0,10.0,0.0,1.0260619409113207
12870,10.0,9.356,0.6440000000000001,1.0260619409113207
26699,10.0,10.0,0.0,1.0260619409113207
26036,10.0,10.0,0.0,1.0260619409113207
11573,10.0,10.0,0.0,1.0260619409113207
13319,10.0,10.0,0.0,1.0260619409113207
21845,10.0,10.0,0.0,1.0260619409113207
21675,10.0,10.0,0.0,1.0260619409113207
25954,1.5,4.902,-3.402,1.0260619409113207
23119,10.0,10.0,0.0,1.0260619409113207
22155,10.0,10.0,0.0,1.0260619409113207
5914,10.0,10.0,0.0,1.0260619409113207
25658,10.0,9.816,0.18399999999999928,1.0260619409113207
23625,10.0,10.0,0.0,1.0260619409113207
22522,10.0,10.0,0.0,1.0260619409113207
27450,10.0,10.0,0.0,1.0260619409113207
6029,10.0,10.0,0.0,1.0260619409113207
21236,10.0,10.0,0.0,1.0260619409113207
27144,10.0,10.0,0.0,1.0260619409113207
12235,10.0,10.0,0.0,1.0260619409113207
13157,10.0,10.0,0.0,1.0260619409113207
12777,10.0,10.0,0.0,1.0260619409113207
25520,10.0,10.0,0.0,1.0260619409113207
13614,9.0,10.0,-1.0,1.0260619409113207
25798,10.0,10.0,0.0,1.0260619409113207
12524,10.0,10.0,0.0,1.0260619409113207
22948,10.0,10.0,0.0,1.0260619409113207
6071,10.0,10.0,0.0,1.0260619409113207
12880,10.0,10.0,0.0,1.0260619409113207
13395,10.0,10.0,0.0,1.0260619409113207
5748,10.0,10.0,0.0,1.0260619409113207
26772,10.0,10.0,0.0,1.0260619409113207
25101,10.0,10.0,0.0,1.0260619409113207
13182,10.0,10.0,0.0,1.0260619409113207
23450,10.0,10.0,0.0,1.0260619409113207
23312,10.0,10.0,0.0,1.0260619409113207
21268,10.0,10.0,0.0,1.0260619409113207
26483,10.0,10.0,0.0,1.0260619409113207
22253,0.5,2.434,-1.9340000000000002,1.0260619409113207
11718,10.0,10.0,0.0,1.0260619409113207
26920,10.0,9.996,0.0039999999999995595,1.0260619409113207
13776,10.0,10.0,0.0,1.0260619409113207
21620,10.0,10.0,0.0,1.0260619409113207
26984,10.0,10.0,0.0,1.0260619409113207
26531,10.0,10.0,0.0,1.0260619409113207
21750,10.0,10.0,0.0,1.0260619409113207
22039,10.0,10.0,0.0,1.0260619409113207
23707,10.0,10.0,0.0,1.0260619409113207
12628,10.0,10.0,0.0,1.0260619409113207
22046,10.0,10.0,0.0,1.0260619409113207
13065,6.0,9.052,-3.0519999999999996,1.0260619409113207
21606,10.0,10.0,0.0,1.0260619409113207
12829,10.0,10.0,0.0,1.0260619409113207
26341,10.0,10.0,0.0,1.0260619409113207
12696,10.0,10.0,0.0,1.0260619409113207
13512,10.0,10.0,0.0,1.0260619409113207
13156,10.0,10.0,0.0,1.0260619409113207
23453,10.0,10.0,0.0,1.0260619409113207
26162,10.0,6.141,3.859,1.0260619409113207
26468,10.0,10.0,0.0,1.0260619409113207
27307,10.0,10.0,0.0,1.0260619409113207
23327,10.0,10.0,0.0,1.0260619409113207
21742,10.0,10.0,0.0,1.0260619409113207
23582,10.0,10.0,0.0,1.0260619409113207
12698,10.0,10.0,0.0,1.0260619409113207
22087,10.0,10.0,0.0,1.0260619409113207
21752,10.0,10.0,0.0,1.0260619409113207
6082,10.0,10.0,0.0,1.0260619409113207
12775,10.0,10.0,0.0,1.0260619409113207
21596,10.0,9.988,0.012000000000000455,1.0260619409113207
22300,10.0,10.0,0.0,1.0260619409113207
22138,10.0,10.0,0.0,1.0260619409113207
27046,10.0,10.0,0.0,1.0260619409113207
27386,10.0,10.0,0.0,1.0260619409113207
27240,10.0,10.0,0.0,1.0260619409113207
22523,10.0,9.876,0.12400000000000055,1.0260619409113207
27241,10.0,10.0,0.0,1.0260619409113207
26031,10.0,10.0,0.0,1.0260619409113207
22143,10.0,10.0,0.0,1.0260619409113207
23353,10.0,10.0,0.0,1.0260619409113207
13160,10.0,10.0,0.0,1.0260619409113207
26027,10.0,10.0,0.0,1.0260619409113207
13012,10.0,10.0,0.0,1.0260619409113207
12642,10.0,10.0,0.0,1.0260619409113207
26510,10.0,10.0,0.0,1.0260619409113207
13023,10.0,10.0,0.0,1.0260619409113207
12091,10.0,10.0,0.0,1.0260619409113207
13428,10.0,5.796,4.204,1.0260619409113207
21670,10.0,10.0,0.0,1.0260619409113207
22696,10.0,9.222,0.7780000000000005,1.0260619409113207
12934,10.0,10.0,0.0,1.0260619409113207
23524,7.0,7.24,-0.2400000000000002,1.0260619409113207
25365,10.0,10.0,0.0,1.0260619409113207
21956,10.0,10.0,0.0,1.0260619409113207
25973,5.0,7.602,-2.6020000000000003,1.0260619409113207
12942,10.0,10.0,0.0,1.0260619409113207
26931,10.0,10.0,0.0,1.0260619409113207
12617,10.0,9.194,0.8059999999999992,1.0260619409113207
11411,10.0,10.0,0.0,1.0260619409113207
23063,10.0,9.996,0.0039999999999995595,1.0260619409113207
12900,10.0,10.0,0.0,1.0260619409113207
25661,10.0,10.0,0.0,1.0260619409113207
23244,10.0,9.996,0.0039999999999995595,1.0260619409113207
26296,10.0,10.0,0.0,1.0260619409113207
12637,10.0,10.0,0.0,1.0260619409113207
22585,10.0,10.0,0.0,1.0260619409113207
25847,10.0,10.0,0.0,1.0260619409113207
27088,10.0,9.97,0.02999999999999936,1.0260619409113207
13573,10.0,10.0,0.0,1.0260619409113207
13400,10.0,10.0,0.0,1.0260619409113207
22353,10.0,10.0,0.0,1.0260619409113207
23291,10.0,10.0,0.0,1.0260619409113207
26551,10.0,10.0,0.0,1.0260619409113207
26283,10.0,10.0,0.0,1.0260619409113207
26513,10.0,10.0,0.0,1.0260619409113207
26286,10.0,10.0,0.0,1.0260619409113207
25084,10.0,10.0,0.0,1.0260619409113207
23017,10.0,10.0,0.0,1.0260619409113207
26108,10.0,10.0,0.0,1.0260619409113207
23657,10.0,10.0,0.0,1.0260619409113207
25982,10.0,10.0,0.0,1.0260619409113207
21739,10.0,10.0,0.0,1.0260619409113207
22473,10.0,10.0,0.0,1.0260619409113207
23749,10.0,9.944,0.05599999999999916,1.0260619409113207
25865,10.0,10.0,0.0,1.0260619409113207
26874,10.0,10.0,0.0,1.0260619409113207
26742,10.0,10.0,0.0,1.0260619409113207
13765,10.0,10.0,0.0,1.0260619409113207
25383,10.0,10.0,0.0,1.0260619409113207
13183,10.0,10.0,0.0,1.0260619409113207
27114,10.0,10.0,0.0,1.0260619409113207
12833,10.0,9.988,0.012000000000000455,1.0260619409113207
25821,10.0,10.0,0.0,1.0260619409113207
22602,10.0,10.0,0.0,1.0260619409113207
11769,10.0,10.0,0.0,1.0260619409113207
27275,10.0,10.0,0.0,1.0260619409113207
25352,10.0,10.0,0.0,1.0260619409113207
11999,10.0,10.0,0.0,1.0260619409113207
12908,10.0,10.0,0.0,1.0260619409113207
11135,10.0,10.0,0.0,1.0260619409113207
22816,6.0,8.594,-2.5939999999999994,1.0260619409113207
21625,10.0,10.0,0.0,1.0260619409113207
11840,10.0,10.0,0.0,1.0260619409113207
22980,10.0,10.0,0.0,1.0260619409113207
5702,10.0,10.0,0.0,1.0260619409113207
12666,10.0,10.0,0.0,1.0260619409113207
22428,10.0,10.0,0.0,1.0260619409113207
11866,10.0,10.0,0.0,1.0260619409113207
11084,10.0,10.0,0.0,1.0260619409113207
25496,10.0,10.0,0.0,1.0260619409113207
21913,10.0,10.0,0.0,1.0260619409113207
12558,10.0,10.0,0.0,1.0260619409113207
21834,10.0,10.0,0.0,1.0260619409113207
25534,10.0,10.0,0.0,1.0260619409113207
27022,10.0,10.0,0.0,1.0260619409113207
22225,10.0,10.0,0.0,1.0260619409113207
12013,10.0,8.555,1.4450000000000003,1.0260619409113207
23024,10.0,10.0,0.0,1.0260619409113207
22308,10.0,10.0,0.0,1.0260619409113207
22286,10.0,10.0,0.0,1.0260619409113207
25881,10.0,10.0,0.0,1.0260619409113207
22064,10.0,10.0,0.0,1.0260619409113207
26195,10.0,10.0,0.0,1.0260619409113207
22067,10.0,10.0,0.0,1.0260619409113207
13389,10.0,10.0,0.0,1.0260619409113207
25682,10.0,10.0,0.0,1.0260619409113207
25896,10.0,9.924,0.07600000000000051,1.0260619409113207
26122,10.0,10.0,0.0,1.0260619409113207
22480,10.0,10.0,0.0,1.0260619409113207
26305,10.0,10.0,0.0,1.0260619409113207
11222,10.0,10.0,0.0,1.0260619409113207
22919,10.0,10.0,0.0,1.0260619409113207
26675,10.0,10.0,0.0,1.0260619409113207
13341,10.0,10.0,0.0,1.0260619409113207
12410,10.0,10.0,0.0,1.0260619409113207
23387,10.0,9.984,0.016000000000000014,1.0260619409113207
26737,10.0,10.0,0.0,1.0260619409113207
26272,10.0,10.0,0.0,1.0260619409113207
11570,10.0,10.0,0.0,1.0260619409113207
13735,3.0,5.294,-2.2939999999999996,1.0260619409113207
22672,10.0,9.668,0.33200000000000074,1.0260619409113207
12799,10.0,10.0,0.0,1.0260619409113207
25467,10.0,10.0,0.0,1.0260619409113207
6030,10.0,10.0,0.0,1.0260619409113207
11227,10.0,10.0,0.0,1.0260619409113207
22531,5.0,7.868,-2.8680000000000003,1.0260619409113207
26759,10.0,10.0,0.0,1.0260619409113207
21703,10.0,10.0,0.0,1.0260619409113207
21577,10.0,10.0,0.0,1.0260619409113207
22664,10.0,10.0,0.0,1.0260619409113207
11959,10.0,10.0,0.0,1.0260619409113207
25696,10.0,10.0,0.0,1.0260619409113207
26425,4.0,9.196,-5.196,1.0260619409113207
13327,10.0,10.0,0.0,1.0260619409113207
22453,10.0,10.0,0.0,1.0260619409113207
22323,10.0,10.0,0.0,1.0260619409113207
25958,1.0,6.5495,-5.5495,1.0260619409113207
22299,10.0,10.0,0.0,1.0260619409113207
23104,10.0,9.996,0.0039999999999995595,1.0260619409113207
27440,10.0,10.0,0.0,1.0260619409113207
22937,10.0,9.402,0.5980000000000008,1.0260619409113207
6040,10.0,10.0,0.0,1.0260619409113207
13777,10.0,10.0,0.0,1.0260619409113207
26334,10.0,10.0,0.0,1.0260619409113207
22692,10.0,7.87,2.13,1.0260619409113207
25882,10.0,10.0,0.0,1.0260619409113207
22549,10.0,10.0,0.0,1.0260619409113207
22419,10.0,10.0,0.0,1.0260619409113207
27034,10.0,10.0,0.0,1.0260619409113207
22278,10.0,10.0,0.0,1.0260619409113207
