,True Values,Predict Values,Prediction Errors,"Mean Squared, Error"
28599,0.0,2.9992645771775637,-2.9992645771775637,3.533212324815964
2411,6.0,3.1704896793955353,2.8295103206044647,3.533212324815964
28242,6.0,3.037333236383554,2.962666763616446,3.533212324815964
16339,2.0,3.0142163534414284,-1.0142163534414284,3.533212324815964
3016,3.0,3.0303638052205426,-0.030363805220542606,3.533212324815964
28870,4.0,3.2310287218649365,0.7689712781350635,3.533212324815964
27721,6.0,3.366265244513378,2.633734755486622,3.533212324815964
7218,0.0,2.8919934062300148,-2.8919934062300148,3.533212324815964
14002,2.0,2.8497367695617672,-0.8497367695617672,3.533212324815964
6367,6.0,2.9597860037016845,3.0402139962983155,3.533212324815964
690,4.0,3.7038361686948162,0.29616383130518376,3.533212324815964
27892,6.0,3.159290641570001,2.840709358429999,3.533212324815964
16301,0.0,2.992228954405113,-2.992228954405113,3.533212324815964
24146,0.0,2.821348832320197,-2.821348832320197,3.533212324815964
6442,2.0,3.0573247760375417,-1.0573247760375417,3.533212324815964
16300,0.0,2.996459613441147,-2.996459613441147,3.533212324815964
7861,6.0,3.3738013838563203,2.6261986161436797,3.533212324815964
8184,5.0,3.2096632826723575,1.7903367173276425,3.533212324815964
340,4.0,3.0454747599002103,0.9545252400997897,3.533212324815964
30012,3.0,3.1463841637892407,-0.14638416378924068,3.533212324815964
2477,2.0,2.977388912356046,-0.9773889123560462,3.533212324815964
28165,3.0,3.20781798419347,-0.2078179841934702,3.533212324815964
28156,3.0,3.081868830313455,-0.08186883031345493,3.533212324815964
17901,4.0,3.3289252643247553,0.6710747356752447,3.533212324815964
3021,3.0,3.121938720401851,-0.12193872040185116,3.533212324815964
29151,2.0,2.837859237231133,-0.8378592372311329,3.533212324815964
632,2.0,3.2671311223896926,-1.2671311223896926,3.533212324815964
6601,2.0,2.981706291532097,-0.9817062915320971,3.533212324815964
6668,5.0,3.2113590909244563,1.7886409090755437,3.533212324815964
640,2.0,3.362076912532148,-1.3620769125321481,3.533212324815964
3187,3.0,3.056140948228675,-0.056140948228675214,3.533212324815964
29595,0.0,3.2136645577028875,-3.2136645577028875,3.533212324815964
